nom;annee;groupe;temp_RF_moy;pr_RF_total;soil_temp_upper_moy;SMOD_modis;nombre de jour de neige ;LFD_nival
CADI_POP1;2000;Autres sites;4.88173027368262;738.069873113216;11.9434426229508;210;19;318
CADI_POP1;2001;Autres sites;4.50514755991301;707.330400812613;11.7213698630137;229;21;325
CADI_POP1;2002;Autres sites;4.49069819256505;821.441206992082;11.381095890411;217;26;321
CADI_POP1;2003;Autres sites;4.36851838295383;841.883043046714;12.0939726027397;256;25;310
CADI_POP1;2004;Autres sites;4.56540231271572;768.382450681726;11.2666666666667;260;14;319
CADI_POP1;2005;Autres sites;4.59698719011188;638.172167142117;11.1282191780822;209;35;322
CADI_POP1;2006;Autres sites;5.26359524303542;588.376453772154;12.8084931506849;202;4;286
CADI_POP1;2007;Autres sites;5.08915986444821;598.354475236528;11.8443835616438;260;10;315
CADI_POP1;2008;Autres sites;4.38446369698891;939.969094606103;11.5546448087432;221;36;326
CADI_POP1;2009;Autres sites;4.92659505167999;804.1467746522;12.3416438356164;198;29;322
CADI_POP1;2010;Autres sites;3.5539945276801;860.222977992324;10.7627397260274;204;11;300
CADI_POP1;2011;Autres sites;5.62739225762587;724.919094398195;12.8295890410959;210;4;323
CADI_POP1;2012;Autres sites;5.12556427465556;658.074567635143;12.4008196721311;219;15;327
CADI_POP1;2013;Autres sites;4.42791979296839;801.736587195213;11.6641095890411;216;28;323
CADI_POP1;2014;Autres sites;5.25968076053985;985.968565078902;12.0446575342466;207;6;326
CADI_POP1;2015;Autres sites;5.52069709097546;812.150754020979;12.4786301369863;222;9;299
CADI_POP1;2016;Autres sites;3.64171975136767;803.528837254412;11.9095628415301;240;24;320
CADI_POP1;2017;Autres sites;5.0542190930772;722.371050881526;12.2501369863014;230;35;307
CADI_POP1;2018;Autres sites;4.75446845625184;1111.19999575702;11.572602739726;224;12;326
CADI_POP1;2019;Autres sites;4.68604475956888;735.426576677027;12.1501369863014;259;18;319
CADI_POP1;2020;Autres sites;5.0454141087486;825.295242202704;12.3486338797814;177;11;318
CADI_POP1;2021;Autres sites;4.61424281805855;595.153380738651;11.6460273972603;215;13;
CADI_POP2;2000;Autres sites;4.82507713683017;727.522792556627;11.9434426229508;178;30;318
CADI_POP2;2001;Autres sites;4.56039834370065;680.079965946553;11.7213698630137;349;39;324
CADI_POP2;2002;Autres sites;4.26620332081448;823.244061592112;11.381095890411;225;49;321
CADI_POP2;2003;Autres sites;4.53281293991897;852.294621179692;12.0939726027397;256;44;279
CADI_POP2;2004;Autres sites;4.33696180525992;736.710894173419;11.2666666666667;228;25;318
CADI_POP2;2005;Autres sites;4.52980696427749;649.518490070823;11.1282191780822;316;72;322
CADI_POP2;2006;Autres sites;5.3339900361005;597.572031765457;12.8084931506849;247;10;280
CADI_POP2;2007;Autres sites;5.0135155182967;593.21658196776;11.8443835616438;239;8;315
CADI_POP2;2008;Autres sites;4.3320124573064;918.337531391539;11.5546448087432;246;59;326
CADI_POP2;2009;Autres sites;5.01748723677225;793.296195958671;12.3416438356164;223;42;322
CADI_POP2;2010;Autres sites;3.71500929175327;849.85349918317;10.7627397260274;213;21;328
CADI_POP2;2011;Autres sites;5.52634906300537;732.686986836312;12.8295890410959;230;9;323
CADI_POP2;2012;Autres sites;4.98330987219612;655.433638471713;12.4008196721311;267;29;327
CADI_POP2;2013;Autres sites;4.32213778979168;802.25720662717;11.6641095890411;222;42;301
CADI_POP2;2014;Autres sites;5.21126784001724;974.957463210863;12.0446575342466;208;15;313
CADI_POP2;2015;Autres sites;5.41273722435174;793.330365208865;12.4786301369863;222;22;299
CADI_POP2;2016;Autres sites;4.02087169071468;798.936008259333;11.9095628415301;240;52;320
CADI_POP2;2017;Autres sites;5.30591321504823;738.367806417194;12.2501369863014;244;49;306
CADI_POP2;2018;Autres sites;4.87629164274853;1116.79422236329;11.572602739726;224;19;326
CADI_POP2;2019;Autres sites;4.95165760930911;740.397842722093;12.1501369863014;218;45;286
CADI_POP2;2020;Autres sites;4.9603727789002;833.003868095331;12.3486338797814;224;25;318
CADI_POP2;2021;Autres sites;4.40039950555382;616.654162792763;11.6460273972603;220;17;NA
CADI_POP3;2000;Autres sites;4.7259256672776;721.313471065101;11.9434426229508;213;37;317
CADI_POP3;2001;Autres sites;4.66339136618379;658.050989133089;11.7213698630137;255;38;324
CADI_POP3;2002;Autres sites;4.35764190138074;818.782232616458;11.381095890411;244;52;285
CADI_POP3;2003;Autres sites;4.99357189606918;833.284545478542;12.0939726027397;260;51;270
CADI_POP3;2004;Autres sites;4.36631789675223;721.863913800089;11.2666666666667;260;41;317
CADI_POP3;2005;Autres sites;4.45471401913418;628.420105890189;11.1282191780822;231;44;288
CADI_POP3;2006;Autres sites;5.45319046004893;571.700375724276;12.8084931506849;250;18;278
CADI_POP3;2007;Autres sites;4.99245291774431;594.263414332672;11.8443835616438;242;35;313
CADI_POP3;2008;Autres sites;4.32170668337515;852.917615005364;11.5546448087432;248;64;326
CADI_POP3;2009;Autres sites;5.00546496450157;791.017012406113;12.3416438356164;302;43;321
CADI_POP3;2010;Autres sites;3.73507451600222;829.675374869574;10.7627397260274;220;31;296
CADI_POP3;2011;Autres sites;5.40179192017754;720.715655653605;12.8295890410959;230;14;278
CADI_POP3;2012;Autres sites;5.20353735136172;641.789715796241;12.4008196721311;268;50;287
CADI_POP3;2013;Autres sites;4.19565330311968;792.244703813316;11.6641095890411;222;47;300
CADI_POP3;2014;Autres sites;5.22627273344548;960.466376356051;12.0446575342466;220;29;303
CADI_POP3;2015;Autres sites;5.26363073585697;786.558321619992;12.4786301369863;245;26;297
CADI_POP3;2016;Autres sites;4.12075163838815;763.471460928832;11.9095628415301;240;59;320
CADI_POP3;2017;Autres sites;5.52648275690013;736.228933689459;12.2501369863014;253;50;304
CADI_POP3;2018;Autres sites;4.72058549414422;1111.32576821743;11.572602739726;242;51;281
CADI_POP3;2019;Autres sites;5.16742038321925;746.298846651497;12.1501369863014;227;51;286
CADI_POP3;2020;Autres sites;4.89352248460628;820.331748642561;12.3486338797814;224;29;284
CADI_POP3;2021;Autres sites;4.41552823508485;619.8424747262;11.6460273972603;228;25;NA
CADI_POP4;2000;Autres sites;4.95939155710244;767.464596275947;5.81147540983607;211;54;318
